property_type,place,area,furnishing_details,society,bedrooms,bathroom,balcony,price_per_sqft,price,latitude,longitude
flat,usmanpura,950.0,unfurnished,,2,2.0,1.0,5579.0,0.53,23.0494863,72.5672615
flat,ambawadi,2015.0,unfurnished,,3,3.0,1.0,6700.0,1.35,23.0226117,72.5490834
flat,ambawadi,2688.0,unfurnished,,3,3.0,1.0,6250.0,1.68,23.0226117,72.5490834
flat,sola,1300.0,unfurnished,,3,2.0,1.0,5231.0,0.68,23.069237,72.5111307
flat,paras nagar memnagar,1010.0,unfurnished,,2,2.0,1.0,4950.0,0.5,23.056840838067902,72.54402874172642
flat,vijay nagar ranip,1305.0,unfurnished,,2,2.0,1.0,4291.0,0.56,23.056192,72.56234239878887
flat,ranip,1593.0,unfurnished,vrundavan society,3,3.0,1.0,3892.0,0.62,23.0766234,72.5764197
flat,pritam nagar paldi,1935.0,unfurnished,,3,3.0,1.0,5168.0,1.0,23.01835421090908,72.56675793775536
flat,sarvoday nagar,1074.0,unfurnished,,2,3.0,1.0,8845.0,0.95,23.6119499,72.3966462
flat,naranpura,1170.0,furnished,,3,2.0,1.0,6838.0,0.8,23.0567133,72.5508575
flat,new ranip,1530.0,unfurnished,,3,2.0,1.0,4707.0,0.72,23.092529,72.561323
flat,jay ambe nagar,1391.0,unfurnished,,3,2.0,1.0,5968.0,0.83,23.6007767,72.3806226
flat,jay ambe nagar,4000.0,unfurnished,,4,4.0,1.0,7500.0,3.0,23.6007767,72.3806226
flat,jay ambe nagar,1745.0,unfurnished,,3,3.0,1.0,5100.0,0.89,23.6007767,72.3806226
flat,jay ambe nagar,1706.0,unfurnished,,3,3.0,1.0,5100.0,0.87,23.6007767,72.3806226
flat,jay ambe nagar,1648.0,unfurnished,,3,3.0,1.0,5400.0,0.89,23.6007767,72.3806226
flat,ognaj,1242.0,unfurnished,,2,2.0,1.0,4428.0,0.55,23.1177924,72.5136803
flat,khokhra,1027.0,unfurnished,,2,2.0,3.0,4382.0,0.45,23.0008422,72.6186315
flat,naranpura,1260.0,unfurnished,,2,2.0,1.0,5159.0,0.65,23.0567133,72.5508575
flat,pritam nagar paldi,2025.0,unfurnished,,4,4.0,1.0,7407.0,1.5,23.01835421090908,72.56675793775536
flat,maninagar,1170.0,unfurnished,,2,2.0,2.0,2991.0,0.35,22.9986596,72.6114013
flat,sundar nagar,1430.0,unfurnished,,4,3.0,1.0,5315.0,0.76,23.051909904297037,72.55732419200511
flat,nava naroda,810.0,unfurnished,sarthi residency,1,1.0,1.0,2716.0,0.22,23.0687402,72.6734956
flat,moraiya,720.0,unfurnished,,1,1.0,1.0,2222.0,0.16,22.9306513,72.4407996
flat,vasna,675.0,semi-furnished,,1,2.0,1.0,4148.0,0.28,23.0020055,72.5472413
flat,sarkhej gandhinagar highway,3510.0,unfurnished,,6,6.0,2.0,7265.0,2.55,23.054317424033545,72.51923073752492
flat,motera,1215.0,semi-furnished,,2,2.0,1.0,4938.0,0.6,23.0917717,72.59733447335586
flat,shahibag,1900.0,furnished,shilalekh apartments,3,3.0,2.0,10526.0,2.0,23.05750541321643,72.59468425050397
flat,isanpur,593.0,semi-furnished,muktjivan appartment,2,2.0,2.0,0.0,0.25,22.9811295,72.6012948
flat,maninagar west,1000.0,semi-furnished,,2,1.0,2.0,5700.0,0.57,22.994275479193515,72.61303158035088
flat,satellite,1485.0,unfurnished,,3,3.0,2.0,6061.0,0.9,23.027602360651706,72.52116979489662
flat,nikol,1188.0,unfurnished,shyamvilla-3,2,2.0,1.0,3114.0,0.37,23.0589329,72.6718736720388
flat,maninagar,250.0,unfurnished,shrinand city,1,2.0,1.0,6800.0,0.17,22.9986596,72.6114013
flat,vastral,1368.0,furnished,,2,2.0,1.0,4020.0,0.55,22.9948656,72.6624431
flat,jagatpur,2250.0,furnished,,5,4.0,2.0,6222.0,1.4,23.09916113959176,72.5517012504195
flat,paldi,2475.0,semi-furnished,,3,4.0,1.0,7677.0,1.9,23.0145531,72.5635432
flat,hathijan,400.0,semi-furnished,,1,1.0,1.0,2500.0,0.1,22.9411139,72.6674473
flat,sanand,1188.0,semi-furnished,,2,2.0,1.0,4040.0,0.48,23.0238876,72.3851475
flat,koteshwar,3006.0,unfurnished,ornet pearl,3,3.0,1.0,5323.0,1.6,23.1031355,72.60213153396268
flat,satellite,1100.0,semi-furnished,sanjay tower,2,2.0,3.0,0.0,0.62,23.027602360651706,72.52116979489662
flat,paldi,1890.0,semi-furnished,,3,3.0,1.0,8466.0,1.6,23.0145531,72.5635432
flat,gota,1080.0,semi-furnished,,2,2.0,1.0,4167.0,0.45,23.1010002,72.5408363
flat,thaltej,2495.0,furnished,,3,3.0,1.0,11022.0,2.75,23.0485393,72.511742
flat,naroda,1125.0,semi-furnished,,2,2.0,1.0,2045.0,0.23,23.0732586,72.6508299
flat,hatkeshwar,702.0,semi-furnished,,1,1.0,1.0,2422.0,0.17,22.9993349,72.6245126
